Connect;Database;DateCreate;DateUpdate;Flags;ForeignName;Id;Lv;LvExtra;LvModule;LvProp;Name;Owner;ParentId;RmtInfoLong;RmtInfoShort;Type
;;19-Oct-00;19-Oct-00;0;;-2147483648;;;;;DataAccessPages;;251658240;;;3
;;14-May-98;14-May-98;0;;-2147483647;;;;;Forms;;251658240;;;3
;;14-May-98;14-May-98;0;;-2147483646;;;;;Modules;;251658240;;;3
;;14-May-98;14-May-98;0;;-2147483645;;;;;Reports;;251658240;;;3
;;14-May-98;14-May-98;0;;-2147483644;;;;;Scripts;;251658240;;;3
;;14-May-98;14-May-98;0;;-2147483643;;;;;SysRel;;251658240;;;3
;;08-Dec-98;13-Sep-13;0;;-2147483642;;;;;AccessLayout;;251658242;;;-32757
;;27-Jun-24;27-Jun-24;0;;-2147483641;;;;;DigSig;;251658242;;;-32757
;;27-Jun-24;27-Jun-24;0;;-2147483640;;;;;DigSigAgile;;251658242;;;-32757
;;27-Jun-24;27-Jun-24;0;;-2147483639;;;;;DigSigV3;;251658242;;;-32757
;;08-Dec-98;10-Dec-98;0;;-2147483638;;;;;SummaryInfo;;251658242;;;-32757
;;08-May-14;08-May-14;0;;-2147483637;;;;;LinkModule;;-2147483646;;;-32761
;;08-May-16;08-May-16;0;;-2147483636;;;;;m_txt2db;;-2147483646;;;-32761
;;12-May-14;12-May-14;0;;-2147483635;;;;;ModuleRemoveSpaces;;-2147483646;;;-32761
;;08-May-14;08-May-14;0;;-2147483634;;;;;AutoExec;;-2147483644;;;-32766
;;12-May-14;12-May-14;0;;-2147483633;;;;;MacroRemoveSpaces;;-2147483644;;;-32766
;C:\BR_SOFT\SRS_DB\srs_link_part1of3.mdb;16-Mar-25;16-Mar-25;2097152;freq;-2147483602;;;;;freq;;251658241;;;6
;C:\BR_SOFT\SRS_DB\srs_link_part1of3.mdb;16-Mar-25;16-Mar-25;2097152;history;-2147483601;;;;;history;;251658241;;;6
;C:\BR_SOFT\SRS_DB\srs_link_part2of3.mdb;16-Mar-25;16-Mar-25;2097152;grp;-2147483600;;;;;grp;;251658241;;;6
;C:\BR_SOFT\SRS_DB\srs_link_part3of3.mdb;16-Mar-25;16-Mar-25;2097152;provn;-2147483599;;;;;provn;;251658241;;;6
;C:\BR_SOFT\SRS_DB\srs_link_part1of3.mdb;16-Mar-25;16-Mar-25;2097152;emiss;-2147483598;;;;;emiss;;251658241;;;6
;C:\BR_SOFT\SRS_DB\srs_link_part1of3.mdb;16-Mar-25;16-Mar-25;2097152;all_aff_ntw;-2147483597;;;;;all_aff_ntw;;251658241;;;6
;C:\BR_SOFT\SRS_DB\srs_link_part1of3.mdb;16-Mar-25;16-Mar-25;2097152;grp_aff_rec;-2147483596;;;;;grp_aff_rec;;251658241;;;6
;C:\BR_SOFT\SRS_DB\srs_link_part2of3.mdb;16-Mar-25;16-Mar-25;2097152;gpub;-2147483595;;;;;gpub;;251658241;;;6
;C:\BR_SOFT\SRS_DB\srs_link_part2of3.mdb;16-Mar-25;16-Mar-25;2097152;assgn;-2147483594;;;;;assgn;;251658241;;;6
;C:\BR_SOFT\SRS_DB\srs_link_part2of3.mdb;16-Mar-25;16-Mar-25;2097152;orbit_lnk;-2147483593;;;;;orbit_lnk;;251658241;;;6
;;00-Jan-00;00-Jan-00;-2147483648;;2;;;;;MSysObjects;;251658241;;;1
;;00-Jan-00;00-Jan-00;-2147483648;;3;;;;;MSysACEs;;251658241;;;1
;;00-Jan-00;00-Jan-00;-2147483648;;4;;;;;MSysQueries;;251658241;;;1
;;00-Jan-00;00-Jan-00;-2147483648;;5;;;;;MSysRelationships;;251658241;;;1
;;12-Feb-01;13-Mar-25;0;;15;;;;;adm_assoc;;251658241;;;1
;;22-May-24;13-Mar-25;0;;23;;;;;aesim_param;;251658241;;;1
;;20-Jan-99;13-Mar-25;0;;27;;;;;alloc_id;;251658241;;;1
